Problem,Choice,Slice,Slice-Slot,Subslice-Slot,Real Slot,,Slice Correct?,Subslice Correct?
03_scaled,choice_A,slice0,,0,0,,,1
03_scaled,choice_A,slice1,,0,0,,,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
04_scaled,choice_A,slice0,,0,0,,,1
04_scaled,choice_A,slice1,,0,0,,,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
05_scaled,choice_A,0,,0,0,,,1
05_scaled,choice_A,1,,0,0,,,1
---,---,---,---,---,---,---,---,---
05_scaled,choice_B,0,,0,0,,,1
05_scaled,choice_B,1,,0,0,,,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
06_scaled,choice_A,0,,0,0,,,1
06_scaled,choice_A,1,,0,0,,,1
06_scaled,choice_A,2,,0,0,,,1
06_scaled,choice_A,3,,0,0,,,1
---,---,---,---,---,---,---,---,---
06_scaled,choice_B,0,,0,0,,,1
06_scaled,choice_B,1,,0,0,,,1
06_scaled,choice_B,2,,0,0,,,1
---,---,---,---,---,---,---,---,---
06_scaled,choice_C,0,,0,0,,,1
06_scaled,choice_C,1,,0,0,,,1
06_scaled,choice_C,2,,0,0,,,1
06_scaled,choice_C,3,,0,0,,,1
06_scaled,choice_C,4,,0,0,,,1
06_scaled,choice_C,5,,0,0,,,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
07_scaled,choice_A,0,,0,0,,,1
07_scaled,choice_A,1,,0,0,,,1
---,---,---,---,---,---,---,---,---
07_scaled,choice_B,0,,0,0,,,1
07_scaled,choice_B,1,,0,0,,,1
07_scaled,choice_B,2,,0,0,,,1
---,---,---,---,---,---,---,---,---
07_scaled,choice_C,0,,0,0,,,1
07_scaled,choice_C,1,,0,0,,,1
07_scaled,choice_C,2,,0,0,,,1
---,---,---,---,---,---,---,---,---
---,---,---,---,---,---,---,---,---
08_scaled,choice_A,0,,0,0,,,1
08_scaled,choice_A,1,,0,0,,,1
08_scaled,choice_A,2,,0,0,,,1
---,---,---,---,---,---,---,---,---
08_scaled,choice_B,0,,0,0,,,1
